2500 5000
112 698 807486711
1123 390 654003185
1820 245 118527056
1664 4 365555964
2179 2193 -70693097
1614 1303 -216696783
487 1438 428992559
924 2148 254829873
1367 1902 356489169
574 430 986264526
1041 335 -435005240
1129 223 -167309930
420 1685 97450715
1968 1854 900658723
2456 1507 -65723123
1563 105 48916736
653 2207 -157267307
2360 1285 -439051515
822 773 -480846413
1935 1087 757763355
1983 144 814524833
836 484 -293390670
357 2404 23069538
1174 2488 -176008072
1977 688 -279629036
1546 2443 356580096
860 2357 -212911796
778 807 -477611500
1032 2104 285132178
1582 1004 332128084
1144 2374 912595467
207 1427 329711490
2034 1770 352029262
843 2056 -487525335
1527 1922 195631365
716 420 -209897317
2498 2421 220753050
6 210 855085934
1163 1415 145541920
782 1161 713708361
614 2146 793923932
1704 1494 899386490
2413 1507 451982845
173 1065 471905278
1578 2152 737284207
459 156 85464645
1427 2348 442762065
1080 1213 532393158
1397 1610 698219866
554 2 201352551
1911 1923 229252683
1939 646 -142224769
51 106 854869185
2446 1705 -222402706
1954 1390 473242575
261 372 29495792
1672 2216 100721341
467 137 134438874
2005 282 532256931
559 1246 111785366
255 251 40378982
1365 1929 146860692
784 2143 -44109763
2002 867 938580350
1916 2090 274583897
1512 843 -293351154
1029 361 -314705680
762 172 896237704
1806 2295 479733408
71 682 531581224
684 782 612915780
124 997 -228526024
806 338 500630458
292 929 624093324
1650 698 742053290
1636 2342 -945969
1552 549 653148217
1783 83 588129887
122 249 -216045947
1039 1945 616019258
1118 928 794148238
1882 1115 598474314
1220 303 566259528
1430 1979 -29537545
1952 2029 -167607758
1891 623 -387975819
788 742 425044594
1682 278 -369463091
2209 780 585916892
1538 1300 -231420911
1095 636 -250031256
1675 481 97215855
2065 1272 -464029461
1282 1048 363441533
1138 277 -265885058
535 651 299921506
747 1684 53173030
499 1033 -139689130
2351 2157 563818041
547 1142 282668223
1546 197 -364829998
668 1793 -127336802
2490 2026 625763065
419 445 318198814
783 558 673173996
1268 1303 -365781426
2034 411 259115953
524 364 603073680
864 337 765405852
732 1301 -357640594
1792 981 -152058256
2296 345 732545727
937 1890 9216907
116 371 332350981
567 433 590786249
1455 1478 -109762279
1214 1698 403908964
1895 462 340499335
2110 6 311034875
1045 1337 635194521
2055 1141 172090356
2178 281 385983803
1223 463 488256670
2238 1657 934397926
342 984 541596231
2443 1660 548194512
2038 1698 -420768646
661 1505 -160848796
337 998 220876317
1783 207 717439099
291 862 -331393776
721 72 -450852099
1254 742 633703220
1419 107 -419869572
2008 283 642390573
2031 1525 -12183326
772 2313 -46268527
2070 469 -56093541
1921 471 -73140936
488 1871 -110339162
1002 771 265267501
1010 704 88492290
1662 1218 -435415504
1622 425 312380533
2007 1425 110452034
1989 2292 577394009
13 1446 -317186939
1604 69 -399330793
2414 1660 871450547
1818 1051 712054151
1278 217 803941318
1122 1361 144678864
1327 1290 -347714482
938 1419 587691339
1559 746 583442247
912 2176 125472305
1352 1570 -443873489
912 787 532901399
2448 2312 -99445970
429 2322 -289468293
2119 263 629578604
2240 2411 -407307374
2480 1914 114983680
1109 2467 -351853900
1542 784 495292458
1943 540 -183633908
2389 574 434704762
881 2225 475611419
955 1172 496382240
1381 487 785228441
2300 992 943543412
1687 2028 730306485
423 1020 998683749
1548 264 -429294979
797 463 49529167
1585 1704 -38644021
921 1367 701131303
947 2427 951692644
139 769 782663912
2201 2209 -56779454
853 2060 398395960
576 594 288022015
780 2343 40649297
1645 1893 179768808
299 1878 -112240559
911 2341 314135975
1814 1129 910959719
368 549 813244897
174 2057 -71785559
540 760 36378195
963 1619 924922079
1986 2420 -17179549
2214 2412 524092696
1759 2047 531880112
3 1205 -438245246
817 1623 -151843034
652 1320 644822066
2212 781 -42607095
749 652 400306350
613 9 -161432357
2391 1720 -229299088
458 903 -278731237
1597 1000 559315157
1795 2047 344513956
676 1818 576713742
1060 2486 16857919
2175 1152 180058149
481 1190 793478022
521 1693 -60399229
1385 581 518176912
1829 125 458608350
1577 1089 -331742397
2185 3 -181433211
1964 2050 510345573
2195 1237 448117045
1480 2158 -499952214
602 98 894113375
2412 611 365188233
643 2445 870702290
1932 1520 -406415760
2447 2429 583803566
1710 445 -311654257
418 202 869738697
267 1088 683706111
148 1162 241944406
315 588 720388105
2242 492 806237185
2424 1249 -79839927
164 748 986726881
1812 1511 890976219
529 1123 758531223
903 2069 912951784
476 1910 782318318
687 198 332070229
1456 705 -375086843
2439 236 -88855433
1492 1302 158999537
822 1465 318967454
280 2029 252369394
222 82 811717541
377 1099 -483183273
304 2080 970680333
198 1966 316768974
2312 597 561695744
2131 2156 163253054
507 2031 287047439
1136 395 -197138177
933 1314 324689191
1845 391 851042430
1618 2043 637134653
2196 2492 808595724
78 54 -154050096
1506 2387 27625024
2368 2210 -454647692
903 520 42789087
1922 567 654517195
1545 1875 -110309610
364 1132 698255841
1274 2427 693517584
1724 1300 174361023
2463 3 -476108937
1810 1097 -292629304
293 1854 -47603229
68 1334 109578630
721 119 982495069
998 1302 -226494868
1341 643 10091740
1481 2366 -289059694
820 986 431695207
149 928 584039128
625 670 521901576
61 2185 -120111506
264 1447 778469431
252 2343 361658730
1989 965 221897065
1962 47 579441242
593 1111 363031959
979 431 465957563
370 1960 -122388955
198 1714 982780552
975 1857 820391350
335 1886 -311896967
392 265 -450376896
1453 2401 668223181
457 60 885423352
552 1671 816829794
2084 1023 127341498
1364 598 49803906
1617 2465 -159202999
448 1795 34605885
1360 1925 909167450
1989 1115 188187059
423 843 230864485
485 2278 869631735
1425 330 663918027
2391 515 -301024675
319 1244 48664451
1554 1576 344442024
1206 2096 -293954007
1577 146 -249094886
1453 748 -391634903
340 284 665845589
1936 575 -174832302
199 1617 132624861
1097 2095 -448659439
1614 1665 -196052910
827 1278 -485563033
1113 1995 204106414
930 183 -230665462
2466 2272 -205256594
542 1127 -353644651
1946 188 476310669
1012 1079 442336738
2133 1921 -442078769
1685 211 889314581
1336 1962 93597649
2432 1185 748881351
390 1487 -263803764
441 158 505487010
571 892 -385475749
342 1079 685414279
287 1561 472063529
2457 1965 -349182414
539 1021 -48669586
990 1268 -115322013
804 1680 442848638
2292 603 283586637
894 1508 444324349
1343 2237 107193468
924 257 -64081688
921 190 -407446953
1617 1541 -285099075
1600 551 585074172
1260 386 198280887
697 970 337866955
372 2281 780436308
1080 1136 793150251
1981 247 -211350877
1521 886 181816503
33 1870 81946887
188 1028 -170810725
263 1393 -42791834
1571 2086 559828391
2265 1574 945250066
385 1483 455975285
90 183 -465186951
2254 1939 908722536
1380 301 101281458
1860 895 314048713
634 573 85716556
1834 1344 -230221066
236 193 520091132
1422 297 651568743
2377 1561 761387981
2296 325 883690907
2133 1667 176250848
1532 1082 687347583
2232 194 725675015
544 1063 841122749
2259 263 608182221
679 1862 -185157670
2499 1327 113385198
50 2461 526467874
2394 2275 62910049
1800 1457 -312395086
1207 94 705202554
1362 1208 -193025111
1906 1305 888868107
1516 371 464984031
352 549 -387059193
90 378 448314653
763 1861 -497265162
1177 1881 -306244333
2242 2419 -86218876
393 1539 -156061059
2053 1057 55887822
2236 1767 -434729504
372 1880 315157881
2430 1673 -433610669
646 1171 9131748
1142 1285 -140200958
1110 1226 -78411461
1849 720 483151254
1187 1435 942799094
1061 902 -38199297
375 1531 125505340
1967 1205 46329014
432 928 -99200569
2348 1165 -363108428
2282 1083 787543759
915 784 919902670
1039 2319 -153290727
435 1878 783828395
1772 1654 922394029
1284 2188 -194580631
1081 225 -461777970
1013 218 -452446382
529 2039 927935552
2383 541 746048162
1749 1115 194866050
1335 1020 -214718643
2300 2097 494606124
1638 224 766117670
1710 258 -490932429
149 1730 624364448
1844 50 -40509697
489 1713 807311491
355 2121 778169956
1129 2348 155636735
2259 1814 520478102
863 2059 982616144
1633 2300 217435102
2075 979 547748483
2201 2408 -412986353
2488 1623 -306068722
756 2466 85780425
14 660 -168227494
1861 2273 915757570
1994 34 -480175120
593 2431 -324544212
1918 164 806112467
991 1892 162489691
1502 2399 97027119
187 1825 -270300633
1579 2489 752331727
1379 1451 -288797385
312 1394 618604032
2444 595 -448568541
306 1202 -489282274
1808 226 43722050
1411 649 261990591
123 1150 111747932
2108 1086 -484862096
1016 2420 365382505
2414 14 59857838
933 2266 785516956
1489 64 -83794404
721 2095 483696025
1055 378 -69854132
1723 1912 108319816
279 1038 966358168
1125 2312 -232278178
547 639 465088538
1506 1365 -375939811
1209 538 448218210
647 802 -438706416
1507 1857 599768817
2375 2285 596619668
2217 1638 803219737
2034 844 793985461
2010 155 9141111
1181 859 425235249
82 1815 117918532
1993 1484 -143357603
2217 2449 500405522
123 688 -302938253
1715 2469 363359057
2224 197 859965053
1055 1917 -225798718
847 598 434215685
221 1902 468619841
1944 337 231945917
2440 417 888236704
1305 626 -379118248
463 992 -18815996
940 354 273002159
2224 1940 849443667
1966 1442 151370394
992 1256 773695727
1022 430 343515474
679 2030 51762260
978 1792 -270129882
1006 584 655264572
315 310 -152860439
1512 477 88463243
754 389 -61733548
1409 878 581789172
900 424 924959707
2134 2192 -242643136
1768 1206 255704279
1030 1150 353411623
2385 2367 -209669770
606 2396 -111452127
2209 1800 -246266043
734 1868 696870923
405 815 297668134
790 239 937711219
1065 469 432689488
1284 896 602419852
1683 1160 876465672
540 2293 312374441
2338 148 63225861
168 831 10077749
467 1937 -342430319
2340 358 -8047244
780 1458 300426799
557 1969 724180582
734 1245 434322508
1411 177 914075548
2150 689 913675186
1792 1973 317218157
166 2244 -52195811
795 1385 136048168
1700 2480 -187606327
1181 378 609319774
256 488 -5547743
385 592 -126288112
2297 109 -110638596
1683 1898 -331018465
582 1712 625274557
938 2226 519493888
2192 1989 255212107
104 1258 253731524
2464 2063 349493427
155 2214 -291533335
2500 486 236231636
60 2013 80432531
770 537 771922574
841 1669 -355728407
112 2146 447215780
775 1138 -344621731
1500 27 -147986771
2122 1551 800613307
1894 895 -402385534
1507 1772 69924209
2251 375 -220974299
1885 1601 181304300
441 1424 127910337
2136 1236 -29482508
383 1667 824600024
1987 2068 697181687
184 165 983514827
853 185 31699252
276 2158 263935294
2385 2496 335711926
124 1796 465994042
2035 80 -399103409
989 2288 -414481134
2347 192 626626279
99 983 580854815
2079 1197 -333294697
984 1396 34769130
1159 258 643855424
770 1241 929895889
1481 516 625079397
2467 1296 529212283
1002 1887 308098992
1924 1206 97109603
252 871 611841179
2201 78 538773405
1727 1495 282171720
227 1859 784259610
1477 1691 -479443862
1021 1405 592682917
1120 86 891414446
210 2258 326915699
282 2137 -27398067
1221 1250 769722557
1163 132 803727956
2003 1752 614323894
246 1538 276326330
1672 2336 370422325
335 1269 952258238
1087 1937 679385273
657 1540 -415816774
759 998 463014741
2208 102 -386401179
1777 1307 181857328
1778 2248 670019414
1188 446 391528669
1073 1416 -324000771
1116 1634 -52895766
1538 1149 205751073
869 2194 -177564057
2118 2283 407905882
2363 799 202852998
1834 234 589689755
2044 1586 -412614853
516 2138 142978433
2242 2400 350091787
886 245 722384165
343 417 790559086
1842 270 -285066607
1330 1432 -99769698
386 835 551206122
1278 633 651030021
11 1346 -378091710
1350 382 899234734
1617 1988 -146782268
435 524 -43553953
2421 242 520462080
164 925 89818529
372 1267 380065041
2098 956 -429850714
1520 1850 -159791306
132 853 -253396196
1327 364 -382562753
2452 1976 542237727
2116 1798 890317610
2441 1542 705525541
1558 2355 874223184
384 721 -119493128
1702 1209 -19725689
2182 1410 513468077
1125 2457 711851571
1462 1623 -455380259
809 400 681568021
790 1595 -252724872
152 1984 725860009
758 1863 156034380
2028 620 508262342
1890 962 128769067
651 743 451932086
1560 705 4515238
822 1984 189539691
192 720 707646932
1886 769 -106178722
1802 464 685156739
252 848 -151936177
1661 2318 930535795
1298 1723 -72517233
2176 404 -78948081
2446 165 -298162936
861 1670 830084809
1464 1116 496256907
454 1223 102383336
637 150 -122143100
1354 1381 725685417
536 2169 -51008426
817 875 480660572
1278 879 -19616338
2173 672 311427996
152 1640 689038499
1899 2279 534836116
2058 1361 127315669
509 692 409951126
284 768 640849779
1683 2388 584792251
1177 1332 623142753
1225 1464 928147397
782 994 875486022
1893 1707 -440574615
542 1076 49612409
228 2052 975561794
63 488 -453910662
1973 196 384532172
2393 357 580952942
1865 2319 634920419
1623 1022 -471801578
17 1426 826867671
322 677 899848576
2343 267 550068543
1936 2011 -196447742
1116 609 459081356
2278 1118 -55087100
2002 493 -56217693
1275 337 866991852
1855 2212 33324730
809 2384 702452112
822 1579 420227699
234 1832 74917150
476 494 44251702
1735 721 96246942
1623 2057 492294972
1036 457 756269064
1970 1167 -27109934
1031 1993 242224504
1778 2059 722092462
903 2210 838258761
1158 2013 -113262428
679 1377 905325300
596 1088 -257060077
2189 617 416735208
478 752 -285832839
50 1910 391581316
865 1746 539173140
1132 1411 497136301
1749 2152 -179240913
490 1080 893642465
1079 2162 484081144
92 1238 460558019
1134 1532 64184337
1684 99 607824443
644 1943 549289645
2378 1038 -404958548
797 1987 716058225
720 274 445410309
432 898 666495622
870 1064 309549331
691 1190 -372976015
64 2061 159023698
416 1496 833183597
287 1114 201398374
963 80 682543515
2131 1471 -205149417
2027 1508 509920469
958 667 684428444
838 1639 -102544337
683 983 299486235
2059 1529 -419458625
1356 257 -470733290
1075 132 996887371
985 1783 -35246010
884 1412 -77265603
224 85 -218137252
324 2021 250205734
1048 628 547819090
460 1659 15975451
1263 926 599112083
1475 1766 840275594
2137 63 869979052
379 511 950050017
1214 2243 310408324
2483 768 848822886
928 792 -192313806
1794 1696 61163809
167 532 753103574
2206 253 896172647
1322 1391 759487129
1694 880 663075534
1996 2179 90389669
1879 2479 157489363
2233 234 -387579318
1922 840 413978413
1230 1623 965358645
1861 985 512557071
1224 2046 505420715
648 1989 12986048
1567 1366 -238437818
1427 1524 597270976
2415 289 -150689282
1429 1057 289091954
1040 1439 648238842
332 110 644833690
2231 2011 519849899
2425 396 854860763
808 165 224992476
1957 1072 615653681
880 367 762566918
318 198 219377600
1460 1143 689582242
1923 724 298119697
2438 1316 -68121635
1732 493 134687238
1883 2079 -382942269
1369 525 773052719
841 367 -470357765
2499 1222 -463134908
838 2138 619881372
1473 1924 915453204
703 758 404955146
1534 1543 842017293
2330 2144 -32709142
834 282 370285277
1221 1327 442479140
363 1144 347926615
479 383 643721245
312 2123 768613826
2072 1953 694166482
1675 242 -14638105
1479 1876 488660113
2030 2382 571726522
1130 454 -355798633
979 189 351674129
1622 2024 870710506
997 771 -148790619
34 2179 -27894820
123 529 621236411
2222 1746 60803660
457 390 924571200
596 330 -438655816
2052 949 652344752
25 1386 -132351739
2340 259 530706890
144 811 835671769
732 584 343741349
1095 1785 793029381
2278 844 979339859
1615 1678 799865254
286 956 175213737
2201 2272 908858414
1418 128 498114291
1561 1553 -130639658
2365 2081 -373771966
1855 1257 272200734
919 495 101533557
128 2213 -140532470
1201 1608 478879608
206 1268 495398390
2441 761 41980180
528 1660 609885945
2165 798 830351501
2265 363 810892845
1459 2355 348792969
1680 566 833680869
1049 1870 205156943
1448 384 683900016
1025 1953 34484373
530 2090 745166844
356 841 611595039
2062 658 784420615
2427 2132 298897664
978 855 341579039
1514 1377 166305661
1071 772 284936719
1027 825 260013845
1475 95 570467279
889 727 205004408
1134 2494 718347285
1636 42 -182708715
95 201 -131296590
1506 1758 737467708
2292 1412 606963157
746 1924 -131426624
383 850 295170637
663 1563 -16751086
275 337 -366017283
1538 496 509002629
1888 1553 -273315513
550 1672 -62510587
192 1432 -255929168
1014 143 409570798
2438 426 827743923
2140 396 -223018227
62 121 -163938942
354 762 -178609857
760 1522 591722816
6 435 890473416
814 947 -275741599
745 378 859827129
1660 683 700624685
1029 503 420764257
2254 202 -167515099
309 776 160511518
1020 1997 -214954379
1052 319 719612399
1941 1260 286112751
2063 857 -135581175
703 775 997411847
606 660 620474686
868 2312 575342122
1181 1281 465858535
2451 155 523253466
1798 2309 -145857313
2369 172 732001758
1778 1514 514524752
1412 2492 -216345392
1688 1196 -50391265
174 2336 -349945667
458 1636 985954821
1871 1522 -193285892
1132 1749 893477128
2096 1972 82417776
758 40 -71077792
2165 742 354550272
24 2225 42684937
2134 1321 -84376893
1843 184 938053407
313 1915 424718332
1943 1442 292747559
1550 940 -218970010
1839 548 377734581
899 906 385488988
1736 1280 -418560143
969 1235 446617268
2362 1874 -299204008
72 2288 668253084
2365 1236 359002428
1527 1905 191562131
676 722 711626600
1903 1803 -49057323
305 1996 682113437
1427 205 712378559
1081 996 459795302
1479 1510 733336517
1233 1844 553432793
2396 102 892498443
17 2067 487574350
775 1796 700945035
704 99 -350311081
1902 825 46300708
696 197 840027360
2243 617 162223479
2082 1174 779042104
1006 1894 897148482
1776 1693 -306092936
1454 1421 772466758
2177 272 437376466
2495 394 281697243
905 539 112627730
2151 1541 150117876
634 1679 595365146
365 2320 -23868421
1675 832 531503965
2297 715 -354921533
1291 138 502044898
65 115 972031834
1925 1592 161331169
59 327 -397863751
1792 772 324788739
1557 1357 -227949713
1630 814 893792764
2060 707 -404590073
828 121 736916522
1858 287 -70007088
2300 681 46779607
894 2349 630489668
329 172 227359319
727 1317 96004497
1984 1313 -240502945
1538 1396 93971322
658 624 825613230
2297 1759 588065694
2386 2490 -496781096
574 2392 944121601
2266 2226 -55677169
814 459 63754220
279 1934 504871049
1960 1719 -147547046
1285 1669 499777184
874 22 -289246483
1351 2178 911602863
487 1186 214427352
1959 1802 388947374
2018 1871 -116135538
1417 1330 720320488
237 1868 -231941186
2254 24 -139342585
2017 627 644693859
1859 1115 563833118
683 534 -198812276
1941 924 -54924886
1567 335 329809361
1850 2318 617824426
1710 970 563773425
1842 430 386251574
596 2402 545655794
1285 935 733154552
121 150 151948900
1248 1547 -501037
299 560 31274073
469 645 200626174
2367 1535 265916767
2234 1155 319664035
749 574 541586371
2411 1271 238696074
2242 2410 822553450
2440 1165 -267579888
1865 2065 -92643153
790 686 669762970
938 2286 873610511
259 1340 -398290901
780 871 -242076567
1379 2226 523621882
2072 2239 589808492
154 2093 801937127
1512 472 552741800
1407 772 -158460627
1471 1605 -196790042
969 621 -300616917
785 2016 420768940
1554 475 705751935
1130 58 586778516
1328 243 -91052086
2327 2414 -137325617
2000 1352 -448563489
72 1 -422795016
776 780 943410615
2078 2179 103469672
2250 1523 628491501
1455 2426 -375087953
989 762 76052943
1481 1495 -392123540
286 246 382741646
1478 885 87794862
2134 1554 379869706
907 848 351844262
1135 1839 171344308
1204 166 169417217
1436 1383 781422985
2056 2423 63242284
101 1553 771327106
1733 2098 870051888
2488 1396 641198392
2422 703 937012686
243 280 188748256
34 1975 614748156
1274 2138 251256928
1141 196 363693106
2327 1258 -69177174
914 707 -460101408
161 2046 312900686
2296 83 941205768
1162 1497 616762577
533 2141 570745978
496 1466 417272982
672 1256 34442134
421 2441 963753590
2476 1790 762804819
4 1650 529395755
2187 233 621940819
1600 1814 842864891
1988 2435 946002798
1482 1270 -286331642
2293 663 -409362603
616 2347 337062975
1363 1429 444440422
1695 1232 -406022932
793 1197 305997149
1556 1249 372319907
2275 546 99540608
1678 132 378162333
2277 1989 -162893170
1998 1793 241741481
1737 1316 -82525219
1800 500 -249211531
1450 629 134570909
1101 1462 -60219859
1292 63 84027686
250 2423 624520635
1615 1462 -10188475
2 394 390200051
326 2289 44329539
538 417 281248694
1397 339 -109734252
1736 542 414697564
2257 406 282441197
1376 1431 535158995
117 2099 222891640
155 575 42841326
1344 709 797947895
580 1249 320370621
85 921 574693603
1943 2211 -230840088
1464 1519 554758485
96 1116 338247911
1967 1715 -222447316
1002 2492 159750803
599 2064 -433871346
1816 328 -143911915
1999 1934 281099385
672 1896 596276118
1166 253 156875457
764 155 843914647
1086 1630 -469315002
2346 1580 839503797
2108 1802 244893055
2355 1897 -342262218
1958 1276 49844917
1388 675 663376070
1623 1448 636672652
1985 232 834183464
1917 637 204564372
1513 88 454566671
834 90 -26868636
1325 23 407904689
1602 1410 703927731
332 113 -166347449
820 1400 557356240
2436 1504 221550394
796 642 235417762
2331 1672 -175674230
1173 1281 519858342
1834 1375 689549414
360 1898 163128810
1563 647 375809883
1603 1340 401630066
41 1953 300919489
1325 68 161507605
1580 2094 102610012
400 539 -196539076
2488 2423 622330256
890 824 15337054
1438 1954 871953431
1878 2278 613280680
957 2410 143950179
1891 1837 957316727
1343 590 108398279
2224 1837 4354609
392 1540 769382517
984 606 893717320
203 508 4034909
1025 73 -478462149
1375 1417 567485613
1926 2139 653627944
699 1051 116709589
1087 1047 752327666
1084 930 515499
1520 899 632397090
1136 306 411250115
1998 1264 368274562
140 1881 406419688
2062 1843 928924953
820 96 90777946
2384 2333 75634334
1880 571 -353395499
542 955 916818514
765 1694 -428763435
1783 1014 969145136
1078 1266 -201054972
816 1428 -175461421
2220 1440 -210994782
165 1896 754145642
2041 1965 273936241
2111 907 389503253
540 300 860355695
32 1657 -313100268
1253 2478 552439038
701 704 126139036
2380 1057 490750797
1038 2300 679815162
1097 1873 543575319
580 124 449360216
404 84 -4820294
1235 2164 586393542
375 1828 -463862306
830 1952 -20010824
1350 1185 -424228443
1415 1290 -444377828
443 749 424116373
1323 1617 -208271277
1562 872 209438581
1542 166 87065622
956 2063 -338530060
510 306 -484400657
371 265 -366137178
1229 1947 930657982
609 1113 -479290591
2370 2423 321761300
164 1745 669712551
467 1254 -493030912
913 2000 423440783
1787 967 450020876
69 2495 810225762
232 1420 -164968916
2173 1815 976181750
166 1728 441694055
1617 734 -321084451
1329 1443 823940481
31 1806 -175310698
2043 1771 876463665
1253 1585 -134810994
1737 516 288261354
2456 115 -155093351
139 1228 -393825025
478 1718 663847080
2297 1709 851038288
26 837 334447781
1677 274 512193007
481 599 -38192887
1181 792 -297688167
756 21 558887984
2225 150 589786069
2441 1277 68596130
2119 2477 -88957887
570 1432 636272904
834 118 328735114
1603 2017 21887361
1281 267 972071964
501 1409 592037805
1328 103 -318535263
1097 817 815467364
581 1300 -133368884
2136 358 48359014
2380 730 609515847
163 1995 543994848
1782 156 343045929
2081 1405 51796301
1050 1609 119909969
76 1856 587580836
1178 831 -315215750
863 1481 409718093
2229 1583 610354114
2087 584 -447107094
1845 195 332286243
2267 1153 -120959869
2033 276 685569769
983 303 -158027434
1814 1360 481065193
1573 1450 349137127
663 2321 -435944988
739 1410 983861687
1004 331 11449494
1201 467 930549145
230 679 280026072
2139 1894 -1499027
1653 1170 31990948
2384 1243 -140748030
741 1729 403929319
751 2116 -148757897
940 100 636851761
1383 2072 841558325
1485 1569 212228927
1233 558 854198461
834 1356 -64060306
1145 458 -52559243
172 1268 619125404
716 1036 -50013463
1387 47 -390540637
962 930 595932650
713 403 448372290
1434 1177 869274870
181 468 79132582
418 1314 -249264953
2000 1661 596057911
291 531 279561495
2252 1225 -352750542
2087 130 111883055
1459 206 801150238
1034 928 978683088
1811 607 -461096431
2453 568 246117942
1935 2312 146221680
2435 982 954371635
607 2336 -467868774
654 334 436615140
1647 864 796429027
425 1017 455807789
2316 2051 615903504
61 1546 90095795
2114 2045 865264800
2200 217 -88043337
1509 1823 201171848
111 1114 371268892
1119 2331 -129443144
760 1019 -361722454
832 584 -492766469
161 604 210704514
834 2082 -443355335
593 2271 -397556168
1952 1919 -188756088
1465 1529 -381040085
250 1502 812721254
743 419 610874292
1471 265 -35676433
1391 1825 -359983265
71 836 259214413
1883 954 226208819
2045 544 563463292
349 598 -219494555
185 2222 498843687
1413 2467 132538099
839 1049 353575383
1002 1805 874506603
718 1404 -17373090
1428 1567 721049628
795 204 -389083199
1557 149 550302216
2013 1726 443004831
1879 1697 -279641299
1127 2215 702651449
2430 1379 -340643151
1329 2496 150457492
1990 1604 -132419162
327 1384 -202810100
683 1559 -198553370
731 1792 119763325
489 197 -218330587
963 11 326487388
783 2495 777740513
2078 491 -187685643
648 622 -458162532
1688 557 752424360
517 1349 -197083229
775 2269 -454543815
1586 722 -121631323
1755 963 594654704
1785 2045 322503273
222 2482 789330211
2079 2162 36638238
2293 2125 634307584
751 1638 738869292
799 574 -215684528
1122 1850 85130117
35 1 -94769971
400 1801 413780491
1700 1586 953411404
2266 271 -111377998
559 608 41787226
874 1090 901196455
26 854 461355772
473 1845 -430633190
233 393 291463700
2077 1004 678916838
2256 343 -251236420
1925 1977 357868464
2346 1925 159827634
2245 1121 318827737
667 755 678833191
1175 1605 -197199165
1786 1397 491141760
1771 2281 635404582
2403 2497 291751973
15 2273 240375538
12 519 89366823
1341 2430 210772044
14 1356 208197502
454 1675 -310522060
1617 1287 -180134260
1478 1887 641660077
1395 1197 763321471
1064 2181 -49910139
970 843 128185879
1179 1610 110552488
1325 56 554296706
1612 742 854990435
434 2080 312921300
1118 1198 -70586869
1290 1215 75432082
644 2175 808283712
2184 414 245626453
748 1874 892674925
1733 122 283892355
85 1508 990214171
67 605 53444241
1993 1819 599856225
2466 994 422913103
2419 1623 -469895660
827 517 779886591
1875 1852 -100934427
425 1524 369189219
1629 417 -499765446
934 817 520554798
594 1427 464057489
1794 1548 -182153608
685 1573 92174531
1399 181 422297277
2108 602 894114390
1160 351 298654736
923 1440 502393681
405 2008 773857187
1101 1216 -273429884
1291 1332 159211800
1702 205 516312918
85 421 -330021645
672 1656 95193781
2165 404 -99600216
108 2470 988766167
1096 142 249091373
2219 2307 -459339235
331 1654 765502870
1069 1276 12757990
554 2090 -379315329
1679 213 929218497
1156 349 -214110157
1642 1502 829440494
2245 1221 985007946
656 1805 933949675
1990 221 -90695415
952 1788 230845884
1738 294 111584189
2292 1389 984494742
2372 1685 523142691
1393 337 715372183
1812 155 175099697
1804 1212 622654131
127 985 266680948
2349 1115 16945345
643 2134 -96636104
1038 595 862269359
494 227 368594303
562 904 392308642
428 758 397943943
